Brewery	Count
Rock Bottom Restaurant & Brewery 	909
Goose Island Beer Co. 	435
John Harvard's Brew House 	409
Iron Hill Brewery & Restaurant 	395
Minneapolis Town Hall Brewery 	347
Port Brewing Company / Pizza Port 	326
Cigar City Brewing 	285
Mikkeller 	236
Kuhnhenn Brewing Company 	191
The Bruery 	191
Beer Works 	179
Sierra Nevada Brewing Co. 	178
Rogue Ales 	177
Flossmoor Station Restaurant & Brewery 	175
Bullfrog Brewery 	171
Great Lakes Brewing Company 	171
Founders Brewing Company 	170
Willimantic Brewing Co. 	169
Jackie O's Pub & Brewery 	168
Three Floyds Brewing Co. & Brewpub 	167
Stone Brewing Co. 	165
Deschutes Brewery 	163
Fitger's Brewhouse 	163
Cambridge Brewing Company 	160
Boston Beer Company (Samuel Adams) 	160
Dogfish Head Craft Brewery 	149
Victory Brewing Company 	143
Brouwerij De Molen 	142
Cascade Brewing / Raccoon Lodge & Brewpub 	137
"Bell's Brewery, Inc. "	135
Harpoon Brewery 	130
CB's Brewing Company 	127
Odell Brewing Company 	126
Short's Brewing Company 	126
Anheuser	123
Avery Brewing Company 	123
Drake's Brewing Co. 	123
Saint Louis Brewery / Schlafly Tap Room 	122
Great Dane Pub & Brewing Company (Downtown) 	122
Sly Fox Brewing Company 	122
Watch City Brewing Co. 	121
Troegs Brewing Company 	121
Bear Republic Brewing Co. 	120
Tap Brewing Company 	119
Bethlehem Brew Works 	118
BrewDog 	118
New Belgium Brewing 	117
Midnight Sun Brewing Co. 	115
Church Brew Works 	114
Sixpoint 	113
Valley Brewing Company 	112
Sly Fox Brewing Company 	112
Portsmouth Brewery 	111
Elysian Brewing Company 	111
McKenzie Brew House 	111
Brasserie Dieu Du Ciel 	110
Great Waters Brewing 	108
Freetail Brewing Company 	108
Lagunitas Brewing Company 	103
New Holland Brewing Company 	103
Fat Heads Brewery & Saloon 	102
21st Amendment Brewery 	101
Bluegrass Brewing Co. 	99
Haymarket Pub & Brewery 	99
Magic Hat Brewing Company 	98
Zero Gravity Craft Brewery / American Flatbread 	98
Brooklyn Brewery 	97
Bootlegger's Brewery 	95
The Brew Kettle Taproom & Smokehouse / Production Works 	94
Flat Branch Pub & Brewery 	94
Ballast Point Brewing Company 	93
De Proefbrouwerij (bvba Andelot) 	93
Brouwerij Van Steenberge N.V. 	92
Minhas Craft Brewery 	92
Revolution Brewing Company 	92
Old Dominion Brewing Company 	91
The Livery 	91
Triple Rock Brewery & Alehouse 	90
Harmon Restaurant & Brewery 	90
The Cambridge House 	90
Five Seasons Westside 	90
Widmer Brothers Brewing Company 	88
Mountain Sun Pub & Brewery 	88
Southampton Publick House 	87
Full Sail Brewery & Tasting Room & Pub 	87
Yazoo Brewing Company 	87
Two Brothers Brewing Company 	86
AMB l Maitre Brasseur 	86
Dark Horse Brewing Company 	85
East End Brewing Company 	85
The Lost Abbey 	85
Appalachian Brewing Company 	84
White Birch Brewing 	84
City Steam Brewery Cafe 	83
Rivertowne Pourhouse 	83
Brouwerij Huyghe 	82
Weyerbacher Brewing Co. 	82
Free State Brewing Co. 	82
Karl Strauss Brewing Company 	82
Carlsberg Sverige AB 	81
Sun King Brewing Company 	81
Big Time Brewery & Alehouse 	80
Stoudts Brewing Co. 	80
Pabst Brewing Company 	80
Utah Brewers Cooperative 	80
Harvest Moon Brewery & Cafe 	79
Baird Brewing Company / Fishmarket Taproom 	79
Earth Bread + Brewery 	79
Allagash Brewing Company 	78
Great Lakes Brewing Company 	78
Matt Brewing Company 	78
General Lafayette Inn & Brewery 	78
Martha's Exchange 	77
"Franklin's Restaurant, Brewery & General Store "	77
Coronado Brewing Company 	77
Pratt Street Ale House 	76
Elevator Brewery & Draught Haus 	76
Hill Farmstead Brewery 	76
Firestone Walker Brewing Co. 	75
Otto's Pub and Brewery 	75
Captain Lawrence Brewing Co. 	75
Deschutes Brewery & Public House 	75
Oskar Blues Brewing Company 	75
AleSmith Brewing Company 	74
Barley's Brewing Company 	74
Willoughby Brewing 	74
Right Brain Brewery 	74
Wynkoop Brewing Company 	73
Volo 	73
De Struise Brouwers 	72
Upright Brewing Company 	72
Rohrbach Brewing Company (Brewpub) 	71
Russian River Brewing Company 	71
Cold Spring Brewing Co. 	71
Rocky River Brewing 	71
Arbor Brewing Company 	71
Spendrups Bryggeri AB 	71
Natty Greene's Pub & Brewing Co. 	71
Dry Dock Brewing Co. 	71
Hollister Brewing Co. 	71
Otter Creek Brewing / Wolaver's 	70
Great Divide Brewing Company 	70
SweetWater Brewing Company 	70
Trinity Brewhouse 	70
Manayunk Brewery and Restaurant 	70
Boundary Bay Brewery & Bistro 	70
The Vermont Pub & Brewery 	70
Lunar Brewing 	70
Half Acre Beer Company 	70
Abita Brewing Co. 	69
Glacier Brewhouse 	69
Alley Kat Brewing Company 	69
Five Seasons Prado 	69
Selin's Grove Brewing Company 	69
New Old Lompoc Brewery 	69
North Country Brewing 	69
Molson Breweries Of Canada. Ltd. 	68
Nodding Head Brewery and Restaurant 	68
Wig And Pen 	68
La Barberie 	68
Terrapin Beer Company 	68
Smuttynose Brewing Company 	67
Bristol Brewing Company 	67
Triumph Brewing Company 	67
Uncle Billy's Brew & Que 	67
Milly's Tavern 	66
Picobrouwerij Alvinne / Den Bierzolder 	66
The Alchemist Pub & Brewery 	66
New Glarus Brewing Company 	65
Craftsman Brewing Co. 	65
Green Flash Brewing Co. 	65
Wormtown Brewing Co. 	65
Evil Twin Brewing 	65
Snake River Brewing Company & Brewpub 	64
Columbus Brewing Company 	64
"August Schell Brewing Co., Inc. "	64
Outer Banks Brewing Station 	64
DuClaw Brewing Company 	64
Draught House Pub & Brewery 	64
Maui Brewing Co. (Brewpub) 	64
World Brews 	64
Berkshire Brewing Company Inc. 	63
Bavaria Brouwerij N.V. 	63
Maumee Bay Brewing Company 	63
The Shed Restaurant & Brewery 	63
Phillips Brewing Company 	63
Brewsters Brewing Company & Restaurant 	63
Back Street Brewery 	63
Tustin Brewing Company 	63
Big Rock Brewery 	62
Heavy Seas Beer 	62
Upstream Brewing Company 	62
Destihl Restaurant & Brew Works 	62
Redhook Ale Brewery 	62
"Pyramid Breweries, Inc. "	61
Magnolia Pub & Brewery 	61
Thunder Canyon Brewery 	61
BJ's Restaurant & Brewhouse 	61
Mickey Finn's Brewery 	61
Stillwater Artisanal Ales 	61
Labatt Brewing Company Ltd. 	60
Brasserie Fantome 	60
Amsterdam Brewing Company 	60
Stewart's Brewing Co. 	60
Square One Brewery 	60
Oakshire Brewing 	60
Hopworks Urban Brewery 	60
The Kernel Brewery 	60
Amherst Brewing Co. 	59
Carlsberg Danmark A/S 	59
Upland Brewing Company 	59
McMenamins 	59
Southern Tier Brewing Company 	59
Ngne  	59
Dugges Ale	59
Thirsty Dog Brewing Company 	59
Five Seasons North 	59
Amager Bryghus 	59
Devils Backbone Brewing Company 	59
"Kirin Brewery Company, Limited "	58
Grand Teton Brewing Co. 	58
Gamla Slottskallans Bryggeri AB 	58
Black Forest Brew Haus 	58
Fort Collins Brewing 	58
Mad Fox Brewing Company 	58
Intuition Ale Works 	58
Baltika Breweries 	57
Broad Ripple Brew Pub 	57
Twain's Billiards and Tap 	57
Flying Dog Brewery 	56
Offshore Ale Company 	56
Heavyweight Brewing Co. 	56
Michigan Brewing Company 	56
Capitol City Brewing 	56
Alcatraz Brewing Co. 	56
Taps Fish House & Brewery 	56
The Defiant Brewing Company 	56
Ladyface Ale Companie 	56
Left Hand Brewing Company 	55
Ithaca Beer Company 	55
Piece Brewery & Pizzeria 	55
Chelsea Brewing Company 	55
Beachwood BBQ & Brewing 	55
Boulder Beer / Wilderness Pub 	54
Brasserie Cantillon 	54
Coastal Extreme Brewing Co. 	54
Dragonmead Microbrewery 	54
Bull & Bush Pub & Brewery 	54
Phantom Canyon Brewing Company 	54
Triumph Brewing Company 	54
Laurelwood Public House & Brewery 	54
MacTarnahan's Taproom (Pyramid Breweries) 	53
Harviestoun Brewery Ltd. 	53
Moylan's Brewery 	53
Le Cheval Blanc 	53
Redoak Boutique Beer Cafe 	53
Better Bitters Brewing Company Ltd 	53
Dock Street Brewery & Restaurant 	53
Brewery Ommegang 	52
Shepherd Neame Ltd 	52
"Lion Brewery, Inc. "	52
Greene King / Morland Brewery 	52
Grizzly Peak Brewing Company 	52
Shenandoah Brewing Co. 	52
Chama River Brewing Company 	52
Lawson's Finest Liquids 	52
Steelhead Brewing Co. 	51
Three Needs Brewery & Taproom 	51
Barley John's Brew Pub 	51
Blind Tiger Brewery & Restaurant 	51
Four Peaks Brewing Company 	51
Thomas Creek Brewery 	51
Beau's All Natural Brewing Company 	51
Double Mountain Brewery & Taproom 	51
Northampton Brewery 	50
Shmaltz Brewing Company 	50
Speakeasy Ales & Lagers 	50
Elm City Brewing Co. 	50
Tyranena Brewing Company 	50
Marin Brewing Company 	50
Barley's Smokehouse and Brewpub 	50
North by Northwest Restaurant & Brewery 	50
Abro Bryggeri 	50
Seabright Brewery 	50
The Bobcat Cafe & Brewery 	50
Foothills Brewing Company 	50
Surly Brewing Company 	50
Marshall Wharf Brewing Company / Three Tides Restaurant 	50
Mother Earth Brew Co. 	50
Against The Grain Brewery & Smokehouse 	50
Trap Rock Restaurant & Brewery 	49
Moosejaw Pizza & Dells Brewing Co. 	49
Bube's Brewery 	49
Shipyard Brewing Co. 	48
"Marston, Thompson & Evershed, Plc. "	48
Fish Brewing Company / Fishbowl Brewpub 	48
Brasserie Du Bocq 	48
Red Star Brewery & Grill 	48
Capitol City Brewing 	48
The Grumpy Troll Restaurant and Brewery 	48
Alpine Beer Company 	48
Mill Street Brew Pub 	48
Meantime Brewing Company Limited 	48
Paddock Wood Brewing Co. 	48
Galatea Spirits 	48
Big Boss Brewing 	48
Allentown Brew Works 	48
Blue Mountain Brewery 	48
Block 15 Brewery & Restaurant 	48
Just Beer Brewing Co. 	47
"Carlton & United Breweries, Ltd. "	47
Boulevard Brewing Co. 	47
Tampa Bay Brewing Co. 	47
Big Sky Brewing Company 	47
Heartland Brewery Union Square 	47
Red Brick Brewing Company 	47
Tun Tavern 	47
Breckenridge Brewery 	47
Nrrebro Bryghus 	47
Flying Monkeys Craft Brewery 	47
Benelux Brewpub & Cafe 	47
Hangar 24 Brewery 	47
Naked City Taphouse 	47
Unibroue 	46
Lost Coast Brewery and Cafe 	46
Legend Brewing Company 	46
Boscos Restaurant & Brewing Co. 	46
Oggi's Pizza & Brewing Co. 	46
Big Dog's Draft House 	46
Coopersmith's Pub & Brewing 	46
Oppigards Bryggeri AB 	46
Sigtuna Brygghus 	46
Les Brasseurs du Hameau 	46
Twisted Pine Brewing Company 	45
McNeill's Brewery 	45
Real Ale Brewing Company 	45
Blue Point Brewing Company 	45
Anacortes Brewery & Rockfish Grill 	45
Lucky Labrador Brewing Company 	45
Empire Brewing Company 	45
C.H. Evans Brewing Company 	45
Buckeye Brewing Company 	45
Spinnakers Gastro Brewpub & Guesthouse 	45
Triumph Brewing Company 	45
The Funky Buddha Lounge & Brewery 	45
Westbrook Brewing Co. 	45
Sprecher Brewing Company 	44
Wychwood Brewery Company Ltd 	44
Hair of the Dog Brewing Company / Brewery and Tasting Room 	44
Cisco Brewers Inc. 	44
Bru Rm. at BAR 	44
Ellicottville Brewing Co. 	44
Moon River Brewing Company 	44
Grand Rapids Brewing Co 	44
Titletown Brewing Company 	44
Walking Man Brewing Co. 	44
Narke Kulturbryggeri AB 	44
Brasserie Dunham 	44
COAST Brewing Company 	44
Tired Hands Brewing Company 	44
Anderson Valley Brewing Company 	43
"City Brewing Company, LLC "	43
Suntory 	43
the Nils Oscar Company 	43
San Diego Brewing Co. 	43
New Albanian Brewing Company Pizzeria and Public House 	43
Third Street Aleworks 	43
Keweenaw Brewing Company 	43
Jolly Pumpkin Artisan Ales 	43
Pisgah Brewing Co. 	43
Ninkasi Brewing Company 	43
FiftyFifty Brewing Co. 	43
Trinity Brewing Company 	43
Arcadia Brewing Company 	42
"Lakefront Brewery, Inc. "	42
Trafalgar Brewing Company 	42
Granville Island Brewery 	42
Barley Creek Brewing Company 	42
Allgauer Brauhaus AG 	42
Ska Brewing Co. 	42
The Brewer's Art 	42
Dunedin Brewery 	42
McCoy's Public House 	42
Great Basin Brewing Co. 	42
J.T. Whitney's Pub & Brewery 	42
Les Trois Mousquetaires 	42
Shoreline Brewery And Restaurant 	42
"Middle Ages Brewing Co., Ltd. "	41
Coors Brewing Company 	41
Saint Arnold Brewing Company 	41
Highland Brewing 	41
Black Oak Brewing Company Ltd 	41
Silver City Brewing Co. 	41
Carolina Brewing Company 	41
Granite City Food & Brewery 	41
Ellicott Mills Brewing Company 	41
Court Avenue Brewing Company 	41
Newport Beach Brewing Company 	41
Barley Brown's Brewpub 	41
The Covey Restaurant & Brewery 	41
Oceanbryggeriet 	41
Bold City Brewery 	41
Big Al Brewing 	41
Epic Brewing Co. 	41
Anchor Brewing Company 	40
Ipswich Ale Brewery 	40
Sapporo Breweries Ltd. 	40
Genesee Brewing Co. / Dundee Brewing Co. 	40
Brick Brewing Co. / The Red Baron Lounge 	40
Moat Mountain Smoke House & Brewing Co. 	40
El Toro Brewing Co. 	40
Central Waters Brewing Company 	40
Lancaster Brewing Company 	40
Gordon Biersch Brewery Restaurant 	40
South Street Brewery 	40
Milwaukee Ale House 	40
Sweetwater Tavern & Brewery 	40
Papago Brewing 	40
Delafield Brewhaus 	40
Laurelwood Pizza Co. (CLOSED) 	40
Nynashamns Angbryggeri 	40
Orlando Brewing Partners 	40
Murray's Craft Brewing Co. 	40
HopCat 	40
Bandwagon Brew Pub 	40
Tequesta Brewing Company 	40
The Farmers' Cabinet 	40
BridgePort Brewing Co. / Brewpub 	39
"Cerveceria Cuauhtemoc Moctezuma, S.A. de C.V. "	39
Capital Brewery 	39
Asahi Breweries Ltd 	39
South Shore Brewery 	39
George Bateman and Son Ltd. / Batemans Brewery 	39
Hale's Ales Brewery & Pub 	39
Pelican Pub & Brewery 	39
Red Rock Brewing Company 	39
Harboes Bryggeri A/S 	39
Richbrau Brewing Company 	39
Brasseurs R.J. 	39
Lake Placid Craft Brewing Company 	39
Durham Brewery Ltd 	39
Greenpoint Beerworks / Kelso of Brooklyn 	39
Cornerstone Brewing Company 	39
lfabrikken 	39
HaandBryggeriet 	39
The Bier Brewery 	39
Miller Brewing Co. 	38
"Paper City Brewery Co., Inc. "	38
Yards Brewing Co. 	38
Jacob Leinenkugel Brewing Company 	38
Max Lager's American Grill & Brewery 	38
Two Rows Restaurant & Brewery 	38
Silver Peak Restaurant & Brewery 	38
BFM Brasserie Des Franches	38
Copper Creek Brewing Company 	38
Bushwakker Brewing Company 	38
"Brewhouse, The "	38
John S. Rhodell Brewery 	38
Fort Street Brewery 	38
Thornbridge Brewery 	38
Boquebiere 	38
Black Raven Brewing Co. 	38
Equinox Brewing Company 	38
Urban Chestnut Brewing Company 	38
Denver Beer Co. 	38
Fuller Smith & Turner PLC 	37
Caledonian Brewery 	37
New England Brewing Co. 	37
Sand Creek Brewing Company 	37
Brick House Brewery 	37
Mad Anthony Brewing Company 	37
Springfield Brewing Company 	37
West Virginia Brewing Company 	37
Chicago Brewing Company 	37
Kraftbrau Brewery 	37
Microbrasserie Charlevoix 	37
Engine House No.9 	37
Dark Star Brewing Company Limited 	37
Skebo Bruksbryggeri 	37
Hopfenstark 	37
Berwick Brewing Company 	37
Vintage Brewing Company 	37
Odd Side Ales 	37
Florida Beer Company 	36
Mendocino Brewing Company 	36
The People's Pint 	36
Kona Brewing Co. 	36
Bison Brewing Co. 	36
Back Road Brewery 	36
Ferme Brasserie Schoune 	36
"Adnams plc, Sole Bay Brewery "	36
J.J. Bitting Brewing Company 	36
Port Townsend Brewing Company 	36
Uinta Brewing Company 	36
Mountain Goat Beer Pty Ltd 	36
Capitol City Brewing Company 	36
Rock Art Brewery 	36
Brouwerij Drie Fonteinen 	36
Streets Of New York / Uptown Brewery 	36
America's Brewpub 	36
O'Fallon Brewery 	36
Seven Bridges Grille And Brewery 	36
Second Street Brewery 	36
Kronleins Bryggeri AB 	36
Thirsty Pagan Brewing 	36
Sequoia Brewing Company 	36
Brugge Brasserie 	36
Green Man Brewery 	36
Le Trou Du Diable 	36
Flat Tail Brewing 	36
Funkwerks 	36
Green Room Brewing 	36
Country Boy Brewing 	36
I & I Brewing 	36
Pike Pub & Brewery 	35
Kulmbacher Brauerei AG 	35
Sleeman Brewing And Malting 	35
Onion Pub & Brewery 	35
